record_id	needs_review_class	performance_metric	performance_value	extraction_note
REC-AIBIOGU-000114	appraisal_caution_already_in_rob	AUC	Reported training AUC 0.99 for bone metastasis prediction (slice); calibration and DCA shown	Appraisal flagged single-dataset nomogram and unverified generalizability; very high AUC warrants caution.
REC-AIBIOGU-000117	appraisal_caution_already_in_rob	AUC	EPE: MRaP AUC 0.80 vs MR 0.57 and MP 0.76; BCR cross-validated C-index ~0.65 for MR/MP components	Appraisal flagged explicit preliminary designation and small BCR event count limiting prognostic precision.
REC-AIBIOGU-000126	residual_caveat	C-index	Among 18 candidate models/gene sets, top 3 (NE_UP_DN_ssGSEA, Enet[alpha=0.01], NE_UP_ssGSEA) had highest average C-index and AUC>0.90 across 6 validation cohorts, outperforming 11 	Study spans >15 bulk cohorts, 11 scRNA-seq cohorts, 13 experimental models and 1 spatial cohort; a single n_analytic/data_source_detail could not be captured without oversimplifying - reported the scRNA-seq meta-atlas (n=210,879 cells/66 tumors) as the primary analytic N. Exact numeric AUC/C-index v
REC-AIBIOGU-000131	appraisal_caution_already_in_rob	AUC	AUC 0.79 and 0.69 for reported aggressiveness models in slice	Appraisal flagged explicitly exploratory/limited aggressiveness predictor requiring cautious interpretation.
REC-AIBIOGU-000139	no_printed_number	other	Cross-validation performance reported without external validation (numeric AUC not in slice)	Appraisal flagged preliminary cross-validation-only nature as a limitation for generalizability.
REC-AIBIOGU-000151	appraisal_caution_already_in_rob	AUC	0.93 (95% CI 0.83-0.98) combined-model testing-set AUC; training-set combined-model AUC 0.91 (95% CI 0.85-0.95)	Appraisal note: the labeled external validation is an internal 7:3 split. n_analytic is the full cohort of 206 because the paper does not print the testing-set headcount that supports AUC 0.93.
REC-AIBIOGU-000161	appraisal_caution_already_in_rob	AUC	Model AUCs ~0.89 and 0.83; nomogram C-index 0.91 per slice	Appraisal flagged non-independence of LN-level observations clustered within patients.
REC-AIBIOGU-000164	residual_caveat	AUC	0.96 (Model 3 test set); Model 1 test-set AUC 0.78; Model 2 test-set AUC 0.93 (95% CI 0.82-0.99); nomogram C-index 0.964	Test-set discrimination is reported at lymph-node level (45 nodes nested in 15 patients). n_analytic is those test-set nodes.
REC-AIBIOGU-000165	appraisal_caution_already_in_rob	AUC	AUC 0.81 metastasis vs primary PCa; AUC 0.88 high- vs low-progression risk on external expression cohorts	Appraisal flags borderline scope because biomarkers come from periprostatic adipose rather than standard tumor tissue and discovery n=10 is tiny.
REC-AIBIOGU-000167	residual_caveat	HR	1.170 (multivariate Cox for recurrence-free survival, 95% CI 1.079-1.267, p<0.001; TCGA)	Primary prognostic number printed for TILTregSig is the TCGA multivariate HR. A separate tumor-immune-score AUC of 0.665 is reported. The full text does not print a numeric time-dependent AUC for recurrence-free survival.
REC-AIBIOGU-000170	appraisal_caution_already_in_rob	AUC	Training AUC 0.914 (95% CI 0.854–0.974); test-set AUC 0.920 (95% CI 0.849–0.991) for combinatorial model	Appraisal flags borderline validation because the 30% test split is from the same pooled cohort rather than independent multicenter validation.
REC-AIBIOGU-000172	residual_caveat	AUC	approximately 0.7 (average 1-, 3-, and 5-year progression AUC in the TCGA training set and four testing PRAD cohorts)	The article is a pan-cancer senescence resource; the extracted axis is the prostate three-gene CS predictor (SPAG5, TACC3, TROAP). The full text gives the progression AUC only as approximately 0.7, not as exact per-cohort values. A separate immunotherapy analysis reported a mean AUC of approximately
REC-AIBIOGU-000173	appraisal_caution_already_in_rob	HR	Univariate Cox HRs up to 2.19 for individual signature genes on 5-year PFI (Table 1; e.g., adjusted p<0.05)	Appraisal notes single-source TCGA design without independent survival-outcome validation cohort.
REC-AIBIOGU-000175	appraisal_caution_already_in_rob	AUC	External validation AUC 0.78 for 3-year BCR vs GGG AUC 0.62; combined AI-MS plus pathology AUC 0.84; GGG2/3 subgroup AUCs 0.84 and 0.81	Appraisal notes source code was withheld pending patent approval, limiting reproducibility despite strong external validation.
REC-AIBIOGU-000180	appraisal_caution_already_in_rob	AUC	Independent validation AUC 0.81 (95% CI 0.76–0.85) for csPCa vs DIN 0.74 and PIN 0.76; RP subset BCR separation HR 5.92 (2.34–15.00, p=0.044)	Appraisal notes borderline PROBAST applicability due to inter-reader PI-RADS variability and mixed biopsy/RP reference standards.
REC-AIBIOGU-000181	appraisal_caution_already_in_rob	AUC	SMOTE-balanced training AUC 0.947 and validation AUC 0.901 for SVM; nomogram training AUC 0.946 and validation AUC 0.910	Appraisal flags borderline validation because SMOTE validation remains within single TCGA source.
REC-AIBIOGU-000183	appraisal_caution_already_in_rob	accuracy	Signature accuracy approximately 0.88 (GGG), 0.89 (pN), and 0.84 (EPE) in internal evaluation	Appraisal notes small n=62 and absence of external validation with accuracy rather than AUC reporting.
REC-AIBIOGU-000186	appraisal_caution_already_in_rob	accuracy	Signature accuracy 74.2% (BER 27%) vs clinico-pathologic baseline 69.2% (BER 32%) on evaluated cohort	Appraisal highlights very small VPCC validation arm (n=23, five events) affecting precision of performance claims.
REC-AIBIOGU-000197	residual_caveat	AUC	0.66 (ELISA, seminal plasma, serum PSA >=4 ng/ml and age >=50)	Title result is the ELISA AUC 0.66. The subgroup sample size is given only in supplemental Table S19 and is not stated in the main text, so n_analytic is NR. The machine-learning panel is a separate axis.
REC-AIBIOGU-000198	residual_caveat	AUC	0.74 (95% CI 0.55-0.92; independent validation cohort)	Analytic N is the independent validation cohort that supports AUC 0.74. The confidence interval is wide (0.55-0.92).
REC-AIBIOGU-000199	residual_caveat	accuracy	88% (leave-one-out cross-validation; 5-nearest neighbor on 20 phenes and linear predictor on 8 phenes)	Authors explicitly warn that the n=90 analysis is prone to overfitting. The 88% accuracy was reached by two different models (5-nearest neighbor on 20 phenes and a linear predictor on 8 phenes).
REC-AIBIOGU-000201	no_printed_number	NR	NR	Slice describes modeling approach but does not report numeric PTEN-prediction performance.
REC-AIBIOGU-000203	residual_caveat	C-index	Best model mean C-index 0.615 across training+validation cohorts; TCGA-BLCA training: 10-fold CV C-index 0.608 (95% CI 0.599-0.617), bootstrap optimism-corrected C-index 0.606 (95%	Primary AI/ML axis extracted is the PCPRS prognostic gene signature (only element matching the SR's AI-biomarker scope); the paper's own narrative anchor is the mechanistic PCP-invasion finding, which is not itself an AI/ML biomarker discovery. validation_level/validation_detail describe the real de
REC-AIBIOGU-000207	residual_caveat	other	High vs low CRSS groups showed significant OS differences in TCGA and GSE13507; time-dependent ROC figures without numeric AUC in slice	Paper combines prognostic ML signature with extensive mechanistic SPHK1 validation; numeric AUC not present in cropped slice.
REC-AIBIOGU-000212	appraisal_caution_already_in_rob	AUC	AUC 0.807 internal validation and 0.783 external multicenter validation for prediction endpoint stated in abstract	Appraisal notes performance collapse in North American TCGA subset, raising domain-shift/generalizability concern.
REC-AIBIOGU-000214	appraisal_caution_already_in_rob	AUC	AUC 0.77 (TP53), 0.76 (FGFR3), 0.75 (ARID1A); high-TMB AUC 0.61; luminal-infiltrated subtype AUC 0.69	Appraisal and authors flag unvalidated pilot design with overfitting risk.
REC-AIBIOGU-000216	appraisal_caution_already_in_rob	AUC	External AUROC 0.932 (male) and 0.914 (female) for tumor vs non-tumor; male-vs-female tumor panel mean composite AUROC 0.734	Appraisal flags weaker male-vs-female tumor panel AUROC (0.734) and small external validation sets.
REC-AIBIOGU-000218	appraisal_caution_already_in_rob	C-index	Training C-index 0.871 vs GSE13507 validation C-index 0.606 (attenuation noted in appraisal)	Appraisal highlights large discrimination drop from training to external validation (C-index 0.871 to 0.606).
REC-AIBIOGU-000219	residual_caveat	C-index	0.682 (mean across all cohorts); 0.67 (mean in validation cohorts); StepCox[both] + Ridge	Primary anchor is BDE-47 toxicogenomics; BDERS is a gene-expression risk score, not a measured patient exposure. Selection metric is the mean C-index (0.682 all cohorts; 0.67 validation cohorts).
REC-AIBIOGU-000221	residual_caveat	AUC	0.890 (BIRC5), 0.906 (CXCL12), and 0.867 (HSPA12A) in TCGA-BLCA	The printed AUCs are in-sample ROC values on TCGA-BLCA after the genes were selected in that dataset, so validation_level is none. Figure confidence intervals are not paired unambiguously with each gene in the text, so only the stated point estimates are recorded.
REC-AIBIOGU-000222	residual_caveat	C-index	0.76 (TCGA training, CoxBoost + GBM); 0.63 (GSE13507); 0.62 (GSE37815). TCGA 1-/3-/5-year AUC 0.796, 0.827, and 0.841	External C-index values (0.63 and 0.62) are lower than the training C-index (0.76), consistent with the appraisal note of weaker external discrimination. Some other combinations had external C-index values below 0.6 and were set aside by the authors.
REC-AIBIOGU-000223	appraisal_caution_already_in_rob	AUC	Mean AUC approximately 0.95 in repeated 5-fold CV on full dataset (permutation-tested)	Appraisal notes no independent validation and optimistic CV AUC (~0.90) on n=51.
REC-AIBIOGU-000224	residual_caveat	HR	2.12 (high- versus low-risk overall survival, p=7.7e-7; median survival 20.5 versus 86.8 months)	The full text prints HR 2.12 but does not print a numeric C-index or AUROC, and it does not state the TCGA analytic sample size.
REC-AIBIOGU-000225	residual_caveat	C-index	0.763 (training) and 0.685 (validation) for Lasso+RSF. Time-dependent AUC 0.97, 0.97, and 0.96 (TCGA); 0.71, 0.73, and 0.73 (GSE13507); 0.63, 0.69, and 0.69 (GSE32894) at 1, 3, and	Training time-dependent AUCs (0.97) are much higher than the external cohorts (0.71-0.73 and 0.63-0.69). The selection metric recorded here is the C-index (0.763 training; 0.685 validation).
REC-AIBIOGU-000228	residual_caveat	AUC	RF cisplatin-resistance model external AUC 0.708–0.850 in two validation sets; MAM score KM/ROC across TCGA, GSE13507, IMvigor210	Primary anchor is mechanistic MAM/ATAD3A biology; prognostic ML components are secondary.
REC-AIBIOGU-000229	appraisal_caution_already_in_rob	AUC	SVM AUC 0.988 (TCGA-BLCA) and 0.987 (GSE13507)	Appraisal flags near-perfect AUC (0.988/0.987) as potential overfitting/optimistic omics performance.
REC-AIBIOGU-000230	no_printed_number	other	LASSO three-gene risk score did not significantly stratify survival; significant grouping relied on consensus-cluster assignment instead	Appraisal notes intended LASSO prognostic model failed and was replaced by weaker consensus-cluster grouping.
REC-AIBIOGU-000235	residual_caveat	AUC	0.880, 0.860, and 0.839 at 1, 3, and 5 years (Figure 3C). Risk-score AUC 0.839 versus stage 0.683, age 0.613, sex 0.505, and grade 0.471 (Figure 3D)	Time-dependent AUCs are printed, but the article does not state the analytic sample size and does not print numeric AUCs for the external GEO cohorts. C-index was the model-selection metric and is not given as a number in the text.
REC-AIBIOGU-000237	no_printed_number	NR	ROC and consensus clustering support diagnostic/prognostic utility; numeric AUC/C-index not stated in cropped slice	Includes Mendelian randomization beyond typical prognostic ML designs; numeric model performance not in slice.
REC-AIBIOGU-000239	no_printed_number	NR	NR	Preprint-style article-in-press formatting and tiny urine validation cohort (n=12) raise applicability concerns.
REC-AIBIOGU-000240	residual_caveat	AUC	Discovery cohort (5-fold stratified CV, n=2839): Random Forest overall accuracy=0.681, AUC=0.937; SVM AUC=0.890; KNN AUC=0.837. Bladder cancer per-class CV: F1=0.93 (AUC approachin	Pan-cancer study; bladder/urothelial cancer (the only GU-relevant tumor type) is one of nine cancer types and not isolated for GU-specific model performance beyond discovery-set per-class metrics (F1=0.93). Bladder cancer absent from external validation cohort, so no externally validated GU-specific
REC-AIBIOGU-000242	residual_caveat	AUC	Training (GSE32894): AUC 0.76/0.85/0.86 at 1/3/5-year OS; HR=13.00 (95% CI 3.06-55.16, p<0.001). External validation (GSE13507): AUC 0.71/0.68/0.68 at 1/3/5-year; HR=1.68 (95% CI 1	No explicit Data/Code Availability statement found anywhere in the article (methods reference only public database URLs); coded NR rather than inferred. n_analytic set to GSE32894 training subset with complete grade data (n=221); other cohort sizes noted in data_source_detail/other_key_outcomes.
REC-AIBIOGU-000244	residual_caveat	C-index	Average C-index 0.766 across evaluated models; time-dependent AUC approximately 0.60–0.72 across cohorts	Primary anchor is pesticide toxicology mechanism; prognostic ML uses exposure-proxy gene set rather than measured imidacloprid exposure.
REC-AIBIOGU-000263	residual_caveat	AUC	External-test nomogram AUC 0.778 (2-year OS) and 0.785 (3-year OS); validation 0.86 and 0.982; training 0.913 and 0.837. GBM radiomics alone, external test: 2-year AUC 0.700 (95% C	n_analytic is the external test set that supports the lead AUCs. Some printed confidence intervals are inconsistent with the point estimate (3-year training nomogram AUC 0.837 with CI 0.83-0.98). TCGA/TCIA images are public; the hospital test set is available from the corresponding author on request
REC-AIBIOGU-000264	residual_caveat	other	RSF+SuperPC was selected as the highest C-index among 101 LOOCV models; ROC performance is described only qualitatively	Full text does not report a numeric metric. Mechanistic multi-omics and MYH11 experiments remain a parallel axis of the paper.
REC-AIBIOGU-000265	appraisal_caution_already_in_rob	AUC	ICI response prediction AUC=0.77.	Borderline GU scope: signature built pan-cancer and BLCA is a post hoc highlight, not the primary target per appraisal_note.
REC-AIBIOGU-000275	appraisal_caution_already_in_rob	C-index	Mean C-index 0.75; TCGA 1-/3-/5-year AUC 0.711/0.751/0.806.	BLCA immunotherapy validation uses cutaneous melanoma ICI cohorts as proxy per appraisal_note.
REC-AIBIOGU-000280	no_printed_number	NR	NR	Borderline scope: tiny IMC discovery cohort and prognostic testing spans nine TCGA tumor types, not BLCA-specific validation per appraisal_note.
REC-AIBIOGU-000285	appraisal_caution_already_in_rob	C-index	Mean C-index=0.72 for optimal MRS in TCGA.	Immunotherapy validation relies on cutaneous melanoma ICI cohorts as BLCA proxy per appraisal_note.
REC-AIBIOGU-000287	appraisal_caution_already_in_rob	C-index	Highest average C-index 0.73; TCGA 1-/3-/5-year AUC 0.754/0.779/0.806.	Immunotherapy validation uses cutaneous melanoma ICI cohorts as BLCA proxy per appraisal_note.
REC-AIBIOGU-000293	appraisal_caution_already_in_rob	C-index	Highest average C-index 0.69; TCGA 1-/3-/5-year AUC 0.744/0.791/0.816.	Immunotherapy validation uses melanoma ICI cohorts as BLCA proxy per appraisal_note.
REC-AIBIOGU-000297	residual_caveat	AUC	FRGI nomogram OS AUC: TCGA-BLCA 0.71, 0.70, and 0.72; GSE32894 0.78, 0.82, and 0.84; IMvigor210 0.95, 0.87, and 0.83. The text labels the first and third time point in each series 	A C-index is not reported. Each nomogram AUC series prints two values labeled 1 year, so the time point for 0.72, 0.84, and 0.83 is ambiguous in the full text.
REC-AIBIOGU-000317	residual_caveat	AUC	Therapy-response AUC 0.7174; accuracy 77.42% (95% CI 0.589-0.9041)	Primary axis is therapy response. Disease-progression AUC 1.0 is the authors' perfect-separation result and is not the primary metric. The exact test-set N inside the 102-sample split is not stated.
REC-AIBIOGU-000319	appraisal_caution_already_in_rob	accuracy	IBD/BC classification accuracy >0.80 for three ML algorithms (slice results).	Borderline scope: primary framing is IBD-BC comorbidity pathogenesis rather than BC-specific GU biomarker focus per appraisal_note.
REC-AIBIOGU-000321	appraisal_caution_already_in_rob	AUC	Test-set 5-year survival AUC 0.87±0.05 for CRD (vs 0.82 clinical alone); test n=64	Appraisal flags extremely small internal validation split (n=7), limiting rigor of internal validation despite reported test-set AUC.
REC-AIBIOGU-000324	residual_caveat	AUC	Testing-cohort clinic-radiomics AUC 0.821 (95% CI 0.669-0.972); training AUC 0.895 (95% CI 0.818-0.973). The abstract states testing AUC 0.817 and accuracy 0.750 for the clinic-rad	The results section reports clinic-radiomics testing AUC 0.821 (95% CI 0.669-0.972), while the abstract reports testing AUC 0.817 for the same model.
REC-AIBIOGU-000327	appraisal_caution_already_in_rob	AUC	Combined nomogram validation AUC 0.854; best radiomics-only SVM validation AUC 0.842 (accuracy 0.844)	Appraisal notes single-center design, no external validation, and unclear data availability in slice.
REC-AIBIOGU-000331	appraisal_caution_already_in_rob	AUC	Fused radiology-pathology subtype model AUC 0.89 (95% CI 0.75-1.0) vs unimodal methods	Appraisal flags molecular-subtype prediction as borderline surrogate outcome rather than direct clinical endpoint for PROBAST applicability.
REC-AIBIOGU-000335	residual_caveat	AUC	Patient-level microaverage AUC 0.74 and macroaverage AUC 0.76 for three-class MDA subtype classification by Inception V3 (Figure 4A).	The anchor of the paper is a comparative upper-tract urothelial analysis; the deep-learning subtype classifier is auxiliary. The full text reports AUC only for the TCGA bladder model, not for UTUC.
REC-AIBIOGU-000338	appraisal_caution_already_in_rob	AUC	Validation AUCs 0.582 (ADC1000), 0.745 (ADC1700), 0.745 (ADC3000) for grade discrimination	Appraisal flags small feasibility-style design with internal split only.
REC-AIBIOGU-000341	no_printed_number	other	High-risk gender signature associated with worse survival and drug sensitivity; nomogram with staging (numeric AUC not in slice)	Comorbid/subgroup-stratified gender-by-metastasis design per calibration rule 5; primary anchor spans epidemiology and signature discovery.
REC-AIBIOGU-000345	appraisal_caution_already_in_rob	AUC	Best SVM averaged AUC ~0.688 for PR/ROC metrics across phenotypes (cross-validation)	Appraisal flags nonstandard immune phenotype endpoint with limited external validation.
REC-AIBIOGU-000350	appraisal_caution_already_in_rob	accuracy	Discovery cohort 100% responder classification with RGIFE nine-gene panel; GSE13507 validation log-rank p=0.02 (n=26)	Appraisal flags non-representative extreme-responder discovery cohort and 100% training accuracy as high optimistic bias risk.
REC-AIBIOGU-000351	residual_caveat	other	Unsupervised radiomic clusters enriched for high TMB (p=0.039); six-feature logistic model built with bootstrapping (numeric AUC not in slice)	Self-described feasibility study without external validation; numeric classification AUC absent from slice.
REC-AIBIOGU-000374	residual_caveat	other	Consistent predictive performance in training and external validation cohorts per abstract; GSE167573 time-dependent AUCs referenced but not numerically listed in slice	Paper anchor is mechanistic ferroptosis/PANX2 biology with ML signature as discovery layer; extensive non-AI validation dominates.
REC-AIBIOGU-000379	no_printed_number	other	Diagnostic models showed good tumor vs normal discrimination and nomogram calibration per abstract (numeric AUC not in slice)	Comorbidity-focused ccRCC-hypertension design per calibration rule 5; AI diagnostic piece is secondary to mechanistic/MR aims.
REC-AIBIOGU-000380	residual_caveat	NR	No completed performance result. Authors state that risk-score distribution, Kaplan-Meier analysis, time-dependent ROC, and internal-validation performance of the 19-gene set were 	The full text does not report a numeric metric for the machine-learning gene set. The paper's anchor is MYDGF biology, and the LASSO model is described by the authors as unvalidated.
REC-AIBIOGU-000389	appraisal_caution_already_in_rob	other	Risk model diagnostic performance interpreted by AUC thresholds (>0.9 high) but study-specific AUC not numerically stated in slice	Appraisal flags RT-qPCR discordance for FOXM1 and CDKN2A as validation weakness.
REC-AIBIOGU-000393	residual_caveat	AUC	Time-dependent ROC AUC exceeding 0.9 in TCGA-KIRC and generally exceeding 0.7 in E-MTAB-1980 and GSE167573, surpassing 0.8 in some cases (Fig. 7D).	The full text does not report a numeric C-index. The StepCox[backward] plus random survival forest model was chosen by highest average C-index, and discrimination is stated only as the AUC bounds above.
REC-AIBIOGU-000394	appraisal_caution_already_in_rob	AUC	Subtype classification AUCs ~0.989/0.987 reported (appraisal cautions optimistic interpretation)	Appraisal notes multi-histology RCC cohort and very high AUCs warrant cautious interpretation.
REC-AIBIOGU-000400	appraisal_caution_already_in_rob	AUC	Combined model AUC 0.958 (95% CI 0.905-0.986) overall; 7:3 train/test split (84/36)	Appraisal flags small n=120 and AUC 0.958 with only 36 metastasis events as likely overfitting.
REC-AIBIOGU-000403	appraisal_caution_already_in_rob	AUC	Nomogram AUC 0.934 training and 0.912 test; best habitat model AUC 0.894/0.877	Appraisal notes internal train/test only without external validation cohort.
REC-AIBIOGU-000405	residual_caveat	other	RSF signature stratified OS in TCGA and CPTAC (log-rank p<0.0001); numeric C-index not in slice	n_analytic for bulk RSF stage not explicitly stated in slice; github code noted as available (xxx placeholder in methods).
REC-AIBIOGU-000407	no_printed_number	NR	NECSO Score independent protective prognostic factor for RFS with concordance/time-dependent ROC assessed; numeric values not in slice	Paper anchor mixes pan-cancer TRPM4 mechanistic work with ML prognostic score; performance numerics truncated in slice.
REC-AIBIOGU-000410	appraisal_caution_already_in_rob	AUC	LST1 diagnostic/prognostic AUC >0.745 for T2DM-ccRCC comorbidity axis (abstract)	Borderline scope: comorbidity-focused T2DM+ccRCC axis narrows generalizability to typical GU biomarker discovery per appraisal.
REC-AIBIOGU-000411	residual_caveat	C-index	Optimal Lasso+StepCox model selected by highest mean C-index (exact numeric value not reported); time-dependent ROC AUC 0.65-0.74 across TCGA-KIRC training, TCGA-KIRC testing, and 	n_analytic for TCGA-KIRC/ICGC-RECA cohorts used in SRSM construction not given as explicit numbers in text; exact C-index for the selected model likewise not reported numerically. Flagged per instructions given the borderline prognostic-vs-associative framing noted in appraisal_note plus the missing
REC-AIBIOGU-000414	residual_caveat	HR	Risk score HR 0.848 (95% CI truncated in slice) with strong training/validation performance per abstract	Exact analytic N and full performance table not fully visible in slice; HR excerpt incomplete.
REC-AIBIOGU-000415	appraisal_caution_already_in_rob	AUC	Prognostic model AUC 0.93 reported in results excerpt	Appraisal flags TCM Yang-deficiency exposure as unconventional predictor though treated as in-scope prediction study.
REC-AIBIOGU-000416	appraisal_caution_already_in_rob	C-index	Training C-index reported; external C-index 0.74 (cBioPortal) and 0.81 (E-MTAB-1980)	Paper anchor is BPA network toxicology; BPA not measured in prognostic cohorts per appraisal (pilot PCP/ATBC precedent).
REC-AIBIOGU-000419	appraisal_caution_already_in_rob	AUC	Combined model AUC 0.967 validation and 0.764 external (n=17); multi-energy radiomics AUC 0.833/0.736	Appraisal notes tiny external validation (n=17) limiting generalizability.
